nama_produk,harga_produk,toko,kota,terjual,rating
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17.0,Central Seblak Nusantara,Tangerang Selatan,2000,4.9
GFS Seblak Basah Instan Original - Tinggal Seduh 3 Menit Langsung Siap,16.618,Lakoca Official Shop,Cimahi,100,4.9
KERUPUK MENTAH KERUPUK SEBLAK MENTAH 500 GR - Mawar Warna,12.5,BociKakang,Jakarta Selatan,100,4.9
Seblak instant murah,4.9,dapurbulbin,Bandung,0,0.0
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15.5,toko bemo,Jakarta Timur,500,4.9
Seblak Instan Pedas Home Made,3.5,the Dhecip,Tangerang Selatan,3000,4.9
"Seblak Rafael, Seblak Coet Instan Halal",25.0,Brother Meat Shop,Depok,250,5.0
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",9.9,Brother Meat Shop,Depok,100,4.9
SEBLAK INSTANT TERMURAH,4.45,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8
Kylafood Seblak Cup,11.0,Kylafood Jakarta,Jakarta Selatan,100,5.0
"Kylafood Seblak Cup Instan, Halal",11.5,Brother Meat Shop,Depok,100,5.0
SEBLAK INSTAN MAMANG TERMURAH,4.2,global cookware1,Jakarta Barat,250,5.0
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25.0,LEGIT SNACK,Jakarta Barat,60,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16.0,Aydaa Snack,Surakarta,90,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14.999,aghniya,Tangerang Selatan,750,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,10.0,Anggris store,Kab. Bogor,50,4.8
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,41.0,JAGO TOK PETOK,Surabaya,100,4.9
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,16.0,DUO BOCIL SNACK,Depok,100,5.0
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,20.0,KRIUK JAYA,Jakarta Barat,40,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,15.0,Lidigeli,Kab. Garut,250,4.8
Kerupuk Seblak Rafael Mawar Putih Pedas,8.355,oke snack,Jakarta Selatan,90,4.9
seblak basreng pedas original exstra daun jeruk 500gram,25.0,Seblak putra bandung,Kab. Bandung,250,4.8
Gelichips Seblak Kering Gurih isi 260gram - Combo Seblak Kering 4pcs - Cikuran 4pcs,49.0,Lidigeli,Kab. Garut,21,5.0
seblak sami raos,27.0,Hidangan Uwo,Bandar Lampung,0,0.0
KERUPUK SEBLAK PEDAS DAUN JERUK 100 GR,4.5,BociKakang,Jakarta Selatan,500,4.8
Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Combo 4pcs 65 gr,49.0,Lidigeli,Kab. Garut,5,5.0
seblak kencur / okesnack,10.0,oke snack,Jakarta Selatan,750,4.9
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,23.5,BociKakang,Jakarta Selatan,250,5.0
Kerupuk Seblak,8.0,SNACK JAKARTA 411,Jakarta Barat,250,5.0
seblak nyai mercon,21.0,nyaimerconjkt,Jakarta Selatan,30,5.0
Kerupuk Seblak Rafael / Seblak Pedas 250 Gram - Tam Snack,16.0,TAM SNACK,Depok,13,5.0
Seblak instant isi korean tteokbokki dan odeng,16.9,dse_food,Kab. Bogor,0,0.0
Kylafood Seblak Rempah Autentik isi (20 pcs),240.672,kylafood,Bandung,11,5.0
cuanki tahu kering seblak atau batagor kering isi 150 pcs,34.0,CUANKI CULAMETAN,Kab. Garut,100,4.9
Paket 5 pcs Seblak Instan Ceu Nthien terdekat Viral,85.0,Central Seblak Nusantara,Tangerang Selatan,21,5.0
siomay mini kering 250 gram toping seblak baso aci,8.0,CUANKI CULAMETAN,Kab. Garut,100,4.9
snack kiloan kerupuk seblak pedas nagih 250 gram free bubble warp,16.0,camilaNung,Bekasi,500,4.8
SEBLAK INSTAN,5.0,Griyo Seni,Kab. Sidoarjo,100,4.5
KERUPUK BAWANG ANEKA WARNA KRUPUK SEBLAK MENTAH WARNA WARNI,15.5,BociKakang,Jakarta Selatan,250,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,5.999,Baso Aci Ayang,Kab. Garut,3000,4.9
SEBLAK INSTAN TERMURAH,3.5,Cemilan-Ce,Kab. Sidoarjo,100,4.9
cuanki lidah 150 pcs toping seblak baso aci,35.0,CUANKI CULAMETAN,Kab. Garut,250,5.0
siomay mini kering 1kg / gurilem toping seblak baso aci cuanki,25.5,CuankiCulametan,Kab. Garut,100,4.9
pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,32.999,CUANKI CULAMETAN,Kab. Garut,40,4.7
Seblak Tulang Rangu Nyai Mercon,21.0,Jajanan Hits (JS),Tangerang Selatan,30,5.0
SEBRING snack seblak kering kriuk - Pedas,26.0,snack darling,Kab. Bandung Barat,0,0.0
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,7.138,Berkah Food Bandung,Cimahi,7000,4.9
SEBLAK KERING 100gr DUA VARIAN RASA,4.5,jajanangarut19,Jakarta Selatan,250,4.6
SEBLAK INSTANT HALU - SEBLAK MIE HALU - EMAK INDAH FOOD,19.999,Pempek Emak Indah,Jakarta Barat,250,4.7
Ready seblak basreng pedas daun jeruk 1kg basreng bandung renyah gurih,50.0,seblak bandung99,Kab. Bandung,750,4.9
Indomie Hypeabis Seblak Hot Jeletot,3.198,Indofood Official Store,Tangerang Selatan,2000,5.0
Peyek Lin's,7.5,Pisang Goreng Madu Bu Nanik,Jakarta Barat,4000,4.8
cilok goang kuah,5.7,Berkah Food Bandung,Cimahi,4000,4.9
Peyek Bayam Tridara Snack,16.5,Pisang Goreng Madu Bu Nanik,Jakarta Barat,500,4.7
Geli Chips - Basreng Spicy Pedas Gurih Daun Jeruk (Bakso Goreng) 65gr,10.2,Foodstocks,Jakarta Selatan,100,4.9
Keripik Slondok Singkong Sari Roso,26.0,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250,4.8
"baso aci, bakso aci, cuanki, seblak instan, boci",8.0,baso aci masabi,Jakarta Selatan,2000,4.8
Paket 7 Pack Seblak Instant CARLA,145.0,Seblak carla,Tangerang,30,4.9
KERUPUK SEBLAK SAMBAL KRUPUK KERITING KECIL Mentah Krupuk,7.821,Iguazabest777,Kab. Tangerang,50,4.9
KERUPUK KRUPUK SEBLAK JABLAY KRUPUK PELANGI 170 GRAM,11.63,G Cakery,Jakarta Pusat,90,4.9
Keripik Kentang Pedas Tridara Snack,16.5,Pisang Goreng Madu Bu Nanik,Jakarta Barat,500,4.9
Kerupuk rambak sapi,15.0,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000,4.9
Kerupuk Ikan Tanggiri,17.0,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000,4.9
Kerupuk Keriting Palembang,28.0,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000,4.9
Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 1kg,28.5,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.9
Kerupuk indosari gado gado dan seblak,25.9,Agen bawang goreng mas YO,Kab. Bogor,100,4.9
Bakso Aci Seblak Mie instant baso kekinian halal murah enak,6.999,Maya Light Electro,Tangerang,30,4.6
"seblak krupuk 5000 ,pedas dan gurih",4.0,anugrah seblak,Kab. Bandung,1000,4.7
kerupuk seblak extra pedas murah meriah,5.0,RIKI STORE 97,Kab. Bogor,12,4.7
Kerupuk Seblak 100 gram-Tantaz Snack,6.5,tantaz_Snack,Tangerang Selatan,23,4.8
Seblak Kerupuk,12.0,agen produk organik jkt,Jakarta Timur,0,0.0
Bundling 3 - Seblak Bapper - Seblak Basranger - Seblak Terciduk,51.9,Gerai Snack Official Shop,Kab. Tangerang,9,0.0
"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",64.815,kylafood,Bandung,500,4.9
Kerupuk seblak Mawar / Seblak Rafael / Seblak viral 500 gr,17.5,Bintang Snack & Camilan,Semarang,12,5.0
Kylafood Batagor Kuah,27.075,kylafood,Bandung,10000,4.9
Seblak Bandung Jawara Pedas,28.0,AkagamiShanks40,Jakarta Pusat,6,5.0
SEBLAK KOMPLIT EXTRA PEDAS DENGAN BUMBU SPECIAL,12.5,jsr rempah indonesia,Jakarta Selatan,29,4.7
BASRENG 1 KG SEBLAK DAUN JERUK PURUT SUPER PEDAS ORIGINAL SUPER RENYAH,51.771,Grosir Besar Kalimantan,Banjarbaru,19,5.0
siomay mini kering 1kg / cuanki / batagor / seblak / bakso aci,29.0,fahirastores,Kab. Bandung Barat,100,4.9
1kg GURILEM Siomay Mini bahan Pelengkap Boci seblak dan cuanki,28.615,lahawelah,Kab. Garut,750,4.9
Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,105.705,kylafood,Bandung,3000,4.9
 Kylafood Seblak karuhun,10.8,kylafood,Bandung,4000,4.8
Kylafood Seblak Kwetiaw play,22.325,kylafood,Bandung,500,5.0
Cimol Spicy Lava Kylafood,27.075,kylafood,Bandung,750,4.9
Kylafood Seblak Kwetiaw,22.325,kylafood,Bandung,4000,4.9
KERUPUK OREN - KERUPUK SEBLAK MENTAH - 500GRAM - ANEKA SAYURAN SEGAR,10.0,Aneka Sayuran Segar,Jakarta Utara,80,4.9
Kerupuk Seblak Pedas / Kerupuk Seblak Merah,18.0,Snackzone PP,Jakarta Pusat,22,4.0
Kerupuk mawar putih mentag 250gram / kerupuk ikan / seblak viral,7.0,Semesta kerupuk,Tangerang Selatan,7,5.0
baso Aci/boci/seblak CUANKI LIDAH KHAS GARUT MURAH isi 100 pcs,39.999,ArfaOnlineShop,Tangerang,6,5.0
TENS Mie Kremes Seblak / Snack Vegan / Cemilan Sehat 65Gr,11.9,Frozen Mart Jakarta,Jakarta Utara,23,5.0
Seblak Bapper Bikin Nagih Parah Extra Mie Kuning 120gr,19.7,Gerai Snack Official Shop,Kab. Tangerang,50,4.9
BUBUK CABAI/CABE BASO ACI/BOCI/SEBLAK/CUANKI ECERAN,699.0,ArfaOnlineShop,Tangerang,250,5.0
Cuanki Batagor besar isi 25 pcs toping seblak baso Aci bakso cuanki,8.6,Distributor Cuanki dan Seblak,Kab. Bekasi,100,4.9
Cuanki Tahu Keriting Panjang Topping Baso Aci / Seblak Khas Garut,14.999,Pedas Gilaa,Surabaya,100,5.0
Kerupuk seblak merah,18.0,Snackzone KK,Jakarta Selatan,28,4.9
kerupuk seblak keriting/seblak bulat/kerupuk keriting pedas,15.0,shofia snack bekasi,Kab. Bekasi,100,4.7
seblak instan isi 250g / seblak bondol / seblak pedas / kuliner bondol,17.999,KULINER KHAS SUKABUMI,Kab. Sukabumi,100,5.0
Kerupuk Seblak Pedas / Makaroni / Basreng / Kerupuk Bantet,3.5,Petani Muda27,Kab. Mojokerto,11,5.0
"pilus cikur/kencur renceng isi 20 bks. baso aci, seblak, cemilan dll",9.999,aghniya,Tangerang Selatan,250,5.0
- Seblak Rafael Asli Original | Seblak Coet Mamang Rafael #,37.0,joniludiansyah,Bandung,3,5.0
Sebring seblak Rafael bumb pedas gurih daun jeruk 80gr,4.951,Grosir Putra Bdg,Kab. Bandung,25,5.0
KERUPUK SEBLAK 500GR / KRUPUK SEBLAK DAUN JERUK / SEBLAK PEDAS,19.9,Dapur Sehat21,Kab. Bandung,80,4.9
Seblak Makroni pedas daun jeruk 500 gram,25.0,Seblak putra bandung,Kab. Bandung,14,5.0
Kerupuk Bawang Warna Putih Dan Orange 500Gram Seblak Nasi Uduk Dll,11.0,Distributor-Jaya,Tangerang,100,4.9
seblak Abah aceng paling top pedas mantul,5.0,cemilan Bandungstore,Cimahi,23,5.0
